day,win,rule,n,risk
20260715,EU- 07:00-13:30,pullback OR30,1,4.6392697106492555
20260715,US  13:30-20:00,ORB OR15,2,11.470557141346946
20260715,US  13:30-20:00,ORB OR30,1,9.498055319078148
20260715,US  13:30-20:00,pullback OR15,2,15.674295157494356
20260715,US  13:30-20:00,pullback OR30,2,10.989951090857739
20260715,US* 13:30-18:30,ORB OR15,2,11.470557141346946
20260715,US* 13:30-18:30,ORB OR30,1,9.498055319078148
20260715,US* 13:30-18:30,pullback OR15,2,15.674295157494356
20260715,US* 13:30-18:30,pullback OR30,2,10.989951090857739
20260716,EU  07:00-16:00,ORB OR15,2,4.410717631628487
20260716,EU  07:00-16:00,ORB OR30,2,6.369027543563202
20260716,EU  07:00-16:00,pullback OR15,1,6.694772344013
20260716,EU  07:00-16:00,pullback OR30,2,5.961214165261751
20260716,EU- 07:00-13:30,ORB OR15,2,4.410717631628487
20260716,EU- 07:00-13:30,ORB OR30,2,6.369027543563202
20260716,EU- 07:00-13:30,pullback OR15,1,6.694772344013
20260716,EU- 07:00-13:30,pullback OR30,2,5.961214165261751
20260716,US  13:30-20:00,ORB OR15,2,16.507215646068595
20260716,US  13:30-20:00,ORB OR30,2,6.028690295630488
20260716,US  13:30-20:00,pullback OR15,0,
20260716,US  13:30-20:00,pullback OR30,0,
20260716,US* 13:30-18:30,ORB OR15,2,16.507215646068595
20260716,US* 13:30-18:30,ORB OR30,1,5.782967149357307
20260716,US* 13:30-18:30,pullback OR15,0,
20260716,US* 13:30-18:30,pullback OR30,0,
20260717,EU  07:00-16:00,ORB OR15,2,4.630153193043987
20260717,EU  07:00-16:00,ORB OR30,2,4.151696780423176
20260717,EU  07:00-16:00,pullback OR15,2,5.731984666196922
20260717,EU  07:00-16:00,pullback OR30,2,7.2072934155697155
20260717,EU- 07:00-13:30,ORB OR15,2,4.630153193043987
20260717,EU- 07:00-13:30,ORB OR30,2,4.151696780423176
20260717,EU- 07:00-13:30,pullback OR15,2,5.731984666196922
20260717,EU- 07:00-13:30,pullback OR30,2,7.2072934155697155
20260717,US  13:30-20:00,ORB OR15,2,17.985301733041165
20260717,US  13:30-20:00,ORB OR30,2,17.985301733041165
20260717,US  13:30-20:00,pullback OR15,2,17.25913577768662
20260717,US  13:30-20:00,pullback OR30,2,17.25913577768662
20260717,US* 13:30-18:30,ORB OR15,2,17.985301733041165
20260717,US* 13:30-18:30,ORB OR30,2,17.985301733041165
20260717,US* 13:30-18:30,pullback OR15,2,17.25913577768662
20260717,US* 13:30-18:30,pullback OR30,2,17.25913577768662
