pivot,stop,model,cost,n,per_sess,win,avg_w,avg_l,exp,pf,dd_pts,dd_usd,pnl,rev_pct,same_pct,pnl_rev,pnl_oth,tp_dist
2/2,1.2,A,comm+1tick,1357,37.69444444444444,43.84672070744289,31.62645868951971,-30.15784091665736,-3.0674516272871575,0.8188650093024837,4706.988568830186,94139.77137660372,-83250.63716457345,35.07737656595431,0.0,-166515.52908337893,83264.89191880544,32.10085912732211
2/2,1.2,A,comm+2.1pt,1357,37.69444444444444,43.18349299926308,30.497384150483672,-31.394551193790015,-4.667451627287157,0.7383317581495248,6801.388568830161,136027.77137660322,-126674.63716457343,35.07737656595431,0.0,-181747.5290833789,55072.89191880548,32.10085912732211
2/2,1.2,B,none,917,25.47222222222222,48.091603053435115,35.451447228639815,-31.169840122290086,0.8694049396074988,1.053734091636312,1397.2013314181095,27944.02662836219,15944.886592401526,18.429661941112325,17.230098146128682,-42190.0,58134.886592401526,33.56209230675631
2/2,1.2,B,commission,917,25.47222222222222,48.091603053435115,35.2314472286398,-31.389840122290096,0.6494049396074987,1.0398555555279863,1446.2613314181156,28925.22662836231,11910.086592401527,18.429661941112325,17.230098146128682,-42933.6,54843.68659240154,33.56209230675631
2/2,1.2,B,comm+1tick,917,25.47222222222222,48.091603053435115,34.7314472286398,-31.889840122290096,0.14940493960749895,1.0090255774499703,1563.0370727069208,31260.741454138413,2740.0865924015307,18.429661941112325,17.230098146128682,-44623.6,47363.68659240154,33.56209230675631
2/2,1.2,B,comm+2.1pt,917,25.47222222222222,47.32824427480916,33.6836595111294,-33.02050496523826,-1.4505950603924989,0.9165964207402862,2188.0117386159523,43760.23477231905,-26603.91340759843,18.429661941112325,17.230098146128682,-50031.6,23427.68659240155,33.56209230675631
2/2,1.2,C,none,1922,53.388888888888886,41.51925078043705,27.036654135338345,-21.90502669039146,-1.5848074921956297,0.8762857287911865,3969.0,79380.0,-60920.0,46.30593132154006,33.45473465140479,-111750.0,50830.0,32.75
2/2,1.2,C,commission,1922,53.388888888888886,41.51925078043705,26.81665413533834,-22.12502669039146,-1.8048074921956287,0.8605128650547497,4234.979999999943,84699.59999999887,-69376.79999999996,46.30593132154006,33.45473465140479,-115665.99999999999,46289.2,32.75
2/2,1.2,C,comm+1tick,1922,53.388888888888886,40.37460978147763,27.07123711340206,-22.19643979057592,-2.3048074921956285,0.8258513542413606,5120.59999999992,102411.9999999984,-88596.79999999996,46.30593132154006,33.45473465140479,-124565.99999999999,35969.20000000001,32.75
2/2,1.2,C,comm+2.1pt,1922,53.388888888888886,36.57648283038502,28.21556187766714,-22.428695652173907,-3.9048074921956277,0.7254981423217798,8048.599999999833,160971.99999999665,-150100.79999999993,46.30593132154006,33.45473465140479,-153045.99999999997,2945.2000000000544,32.75
