set,cond,part,n,mean_R,se,t,after_conc,k_dropped,years,claimable,passed
IB 1R re-entry,vix_chg,bottom quartile,162,0.026396926181902605,0.05616419651084638,0.4699956168126585,-0.08702221746461716,17,4/6,True,False
IB 1R re-entry,on_range,top half,360,0.04684841156646169,0.03839085064872833,1.2203014722210515,-0.058371862792254196,36,5/6,True,False
IB 1R re-entry,on_range,bottom half,360,0.07518583811388324,0.039215891666426674,1.9172288304297564,-0.02681019921598612,36,5/6,True,False
IB 1R re-entry,on_range,top quartile,180,0.09194221884568843,0.05676295929375978,1.6197573204361821,-0.008347718144064206,18,5/6,True,False
IB 1R re-entry,on_range,bottom quartile,180,0.04908404108512051,0.05830605011959749,0.8418344405844543,-0.05551727171705239,18,5/6,True,False
IB 1R re-entry,on_disp,top half,364,0.07629595663413248,0.038175267153370704,1.9985703394716359,-0.027415412187708967,37,5/6,True,False
IB 1R re-entry,on_disp,bottom half,364,0.042853164193246064,0.03879167666944433,1.1046999736157554,-0.06475257236610332,37,4/6,True,False
IB 1R re-entry,on_disp,top quartile,182,0.03316301190006761,0.05369530230435365,0.6176147721842462,-0.07880897538767608,19,4/6,True,False
IB 1R re-entry,on_disp,bottom quartile,182,0.04536145303037608,0.05358106348724703,0.8465948616561647,-0.0652287792164851,19,4/6,True,False
IB 1R re-entry,prior_loc,top half,364,0.08143236362317083,0.03846116337556942,2.117262102240432,-0.021741900012755375,37,6/6,True,False
IB 1R re-entry,prior_loc,bottom half,364,0.03771675720420773,0.03840020714768617,0.9822019203998065,-0.07043143256871207,37,4/6,True,False
IB 1R re-entry,prior_loc,top quartile,182,0.04043966169199499,0.05661540632521216,0.7142872288101245,-0.07063003128696821,19,4/6,True,False
IB 1R re-entry,prior_loc,bottom quartile,182,-0.0375266410268191,0.05584092358797151,-0.6720275850684995,-0.1577724153772709,19,2/6,True,False
IB 1R re-entry,fomc,FOMC = 1,35,0.09929197090090235,0.1514888819285833,0.6554406477678787,-0.2561237854529981,10,4/6,False,False
IB 1R re-entry,fomc,FOMC = 0,693,0.05756863059110276,0.027550587378538334,2.0895609157120263,-0.04759014592350832,70,5/6,True,False
IB 2R re-entry,vix_lvl,top half,316,0.05789049562090318,0.046162617041511436,1.2540557561726955,-0.11417459173270252,32,5/6,True,False
IB 2R re-entry,vix_lvl,bottom half,316,0.04476577139530937,0.04399993291467103,1.0174054465520102,-0.12432240376586834,32,5/6,True,False
IB 2R re-entry,vix_lvl,top quartile,158,0.09288967534675655,0.06440429217899887,1.4422901363248932,-0.07932362563459584,16,3/6,True,False
IB 2R re-entry,vix_lvl,bottom quartile,158,0.041037696152331486,0.06222693639686539,0.6594844375851149,-0.12567630879555627,16,3/5,True,False
IB 2R re-entry,vix_chg,top half,316,0.07320582496933126,0.04545394508252654,1.6105494217590617,-0.09827264258635678,32,5/6,True,False
IB 2R re-entry,vix_chg,bottom half,316,0.029450442046881294,0.044695425185313095,0.6589140146844089,-0.13964462526238938,32,4/6,True,False
IB 2R re-entry,vix_chg,top quartile,158,-0.03815652949688761,0.06239459415529443,-0.6115358231503117,-0.21042299218467306,16,3/6,True,False
IB 2R re-entry,vix_chg,bottom quartile,158,0.016122523971487182,0.06154429710878513,0.26196617280378,-0.13077136004053388,16,4/6,True,False
IB 2R re-entry,on_range,top half,352,0.03869817261163799,0.040891130148844206,0.9463708259169209,-0.11688364799804364,36,4/6,True,False
IB 2R re-entry,on_range,bottom half,352,0.07758764423926091,0.04397800697732273,1.7642373898223491,-0.10064043927568206,36,5/6,True,False
IB 2R re-entry,on_range,top quartile,176,0.06469085559603865,0.058989118108429286,1.0966574458212592,-0.08809667523442082,18,4/6,True,False
IB 2R re-entry,on_range,bottom quartile,176,0.019885404233328154,0.06244573673329574,0.31844294380348565,-0.15331916661301537,18,4/6,True,False
IB 2R re-entry,on_disp,top half,356,0.09024219715869591,0.04247410521773891,2.1246403354721433,-0.08408344479424353,36,5/6,True,False
IB 2R re-entry,on_disp,bottom half,356,0.024825749475957736,0.04166231328893807,0.595880245625951,-0.13289035791256434,36,3/6,True,False
