mins,range_bps,rv_bps,path_bps,eff,atr_bps,prints_min,vol_min,day,win,or15,or30
390,106.42930113379444,88.17516179887859,1177.9533147763743,0.027182592087684025,6.239025665931932,763.9102564102565,821.6128205128205,20260706,US  13:30-20:00,54.59630553834302,77.95883505551741
300,106.42930113379444,84.13315956521569,994.5974087332665,0.03907303440160965,6.776808293279296,793.8466666666667,853.3466666666667,20260706,US* 13:30-18:30,54.59630553834302,77.95883505551741
540,179.92368405535854,89.1998930921904,1446.553906218604,0.0684679354837242,5.631038520178239,475.8740740740741,534.2462962962964,20260707,EU  07:00-16:00,18.952635258640296,25.691350017267958
390,55.25746102074682,49.78051761929824,725.334588720603,0.04047298667475156,3.5950611268383788,127.25641025641026,149.27948717948718,20260707,EU- 07:00-13:30,18.952635258640296,25.691350017267958
390,160.52975663250243,94.28597497975292,1447.8698787302412,0.05633567573924195,8.112249919158689,983.1461538461539,1091.1153846153845,20260707,US  13:30-20:00,65.62908600109662,89.58623307604707
300,160.52975663250243,86.05477917109617,1151.8688803398013,0.03500316504974222,8.451361648881578,1004.5366666666666,1120.7233333333334,20260707,US* 13:30-18:30,65.62908600109662,89.58623307604707
540,172.30790227924118,129.5250864191472,2153.195041114273,0.03367654237134627,8.192049699487942,497.6240740740741,543.6240740740741,20260708,EU  07:00-16:00,18.254401528592876,25.249078749829398
390,172.30790227924118,97.68616442051908,1336.897276397373,0.02703839151553947,6.620665399838321,234.9025641025641,261.04615384615386,20260708,EU- 07:00-13:30,18.254401528592876,25.249078749829398
390,159.30262370737543,103.02844836079657,1515.6188707921103,0.04596493801008137,8.920342114086239,838.6743589743589,913.1692307692308,20260708,US  13:30-20:00,62.900606785744806,67.68652251944279
300,144.8594137253226,97.89578039540592,1273.4167608643254,0.03221516946484989,9.791755690396833,914.5966666666667,996.4633333333334,20260708,US* 13:30-18:30,62.900606785744806,67.68652251944279
540,123.81627589000861,93.41276585693531,1437.751617777785,0.062123520580519564,5.281471103283699,409.10555555555555,446.8814814814815,20260709,EU  07:00-16:00,17.555409260478385,21.606657551358012
390,74.94809338127311,51.57158291762601,769.9557207255837,0.05458451807025019,3.908632231921845,132.75384615384615,149.85897435897436,20260709,EU- 07:00-13:30,17.555409260478385,21.606657551358012
390,127.62876530113991,84.227151243852,1065.7972513741497,0.0796780839406846,5.628280897261045,749.9717948717948,816.6538461538462,20260709,US  13:30-20:00,67.0977084069977,87.30278998501457
300,127.62876530113991,80.33479937856002,889.9130449605508,0.09842709539177784,6.147115443978604,788.7333333333333,856.44,20260709,US* 13:30-18:30,67.0977084069977,87.30278998501457
540,106.18667382406227,109.63468125617227,1475.4189519593551,0.03136467748709304,5.32160439981013,393.98148148148147,428.7518518518518,20260710,EU  07:00-16:00,10.652217674293766,12.497483728108435
390,57.20324766825471,55.62621458799259,726.5071187796934,0.013385766254812076,3.362341431857637,112.71538461538462,125.55897435897435,20260710,EU- 07:00-13:30,10.652217674293766,12.497483728108435
