setname,family,day,R,naive_R,risk_bps,mins,or_ratio,ambiguous,cost_risk,gross_R,grade,year
ORB OR15 R3,ORB,2025-04-15,-1.044224226686052,-1.044224226686052,15.074693592707419,49.0,0.6876526511014854,False,4.422422668605188,-1.0,A,2025
ORB OR15 R3,ORB,2025-04-16,-1.0419579700800794,-1.0419579700800794,15.888916108055092,21.0,0.6510589222253067,False,4.195797008007937,-1.0,A,2025
ORB OR15 R3,ORB,2025-04-16,-1.0501206890297166,-1.0501206890297166,13.301227089503888,39.0,0.6510589222253067,False,5.01206890297166,-1.0,B,2025
ORB OR15 R3,ORB,2025-04-17,-1.0364887800897589,-1.0364887800897589,18.270456425967915,16.0,0.7802563341901317,False,3.6488780089758963,-0.9999999999999999,A,2025
ORB OR15 R3,ORB,2025-04-17,2.959839508917047,2.959839508917047,16.600062616008326,47.0,0.7802563341901317,False,4.016049108295317,3.0,A,2025
ORB OR15 R3,ORB,2025-04-21,-1.0442065568906675,-1.0442065568906675,15.080719095935939,17.0,0.6457254621357353,False,4.420655689066743,-1.0000000000000002,A,2025
ORB OR15 R3,ORB,2025-04-21,2.956149593495934,2.956149593495934,15.203203797092643,22.0,0.6457254621357353,False,4.385040650406564,2.9999999999999996,A,2025
ORB OR15 R3,ORB,2025-04-22,2.9556326208723447,2.9556326208723447,15.026054722513763,15.0,0.6955842916048609,False,4.436737912765552,3.0,A,2025
ORB OR15 R3,ORB,2025-04-22,2.953828323475297,3.7185464225617273,14.43886635370452,262.0,0.6955842916048609,False,4.617167652470325,3.0,B,2025
ORB OR15 R3,ORB,2025-04-23,-1.0252454039281163,-1.0252454039281163,26.407447017482145,21.0,1.139928987388518,False,2.52454039281163,-1.0,A+,2025
ORB OR15 R3,ORB,2025-04-23,-1.4152607286505572,-1.4152607286505572,24.03005434663946,30.0,1.139928987388518,False,2.774303616004507,-1.3875176924905122,A+,2025
ORB OR15 R3,ORB,2025-04-24,-1.0480753230613669,-1.0480753230613669,13.867128169179109,15.0,0.6529688318707534,False,4.807532306136688,-1.0,A,2025
ORB OR15 R3,ORB,2025-04-25,-1.0466635189251707,-1.0466635189251707,14.286677945050108,21.0,0.5869726456869675,False,4.666351892517085,-0.9999999999999999,A,2025
ORB OR15 R3,ORB,2025-04-25,-1.047987010818322,-1.047987010818322,13.892648350001487,39.0,0.5869726456869675,False,4.798701081832215,-0.9999999999999999,A,2025
ORB OR15 R3,ORB,2025-04-28,-1.0440171218536272,-1.0440171218536272,15.145621489827866,15.0,0.6232060105163021,False,4.401712185362713,-1.0,A,2025
ORB OR15 R3,ORB,2025-04-28,-1.0525886891460743,-1.0525886891460743,12.676997230619024,28.0,0.6232060105163021,False,5.258868914607414,-1.0000000000000002,B,2025
ORB OR15 R3,ORB,2025-04-29,-1.0460305649922177,-1.0460305649922177,14.483130215311922,15.0,0.3937486868410619,False,4.603056499221766,-1.0,A,2025
ORB OR15 R3,ORB,2025-04-29,2.975349223053828,6.905801147457063,27.04444846190492,30.0,0.3937486868410619,False,2.4650776946172153,3.0,A,2025
ORB OR15 R3,ORB,2025-04-30,-1.0462775284572188,-1.0462775284572188,14.405839916082948,26.0,0.9580126265389901,False,4.6277528457218775,-1.0,A,2025
ORB OR15 R3,ORB,2025-04-30,-1.0658365396811946,-1.0658365396811946,10.12608909725386,59.0,0.9580126265389901,False,6.58365396811947,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-05-01,-1.0481198891095447,-1.0481198891095447,13.85428518234953,21.0,0.5434084349915791,False,4.811988910954463,-1.0,A,2025
ORB OR15 R3,ORB,2025-05-01,-1.055280815358008,-1.055280815358008,12.059638815911468,29.0,0.5434084349915791,False,5.528081535800789,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-02,-1.048723552871726,-1.048723552871726,13.682636576642771,22.0,0.5694033705983499,False,4.872355287172605,-1.0,A,2025
ORB OR15 R3,ORB,2025-05-02,2.9499390366243294,2.9499390366243294,13.317096230526385,36.0,0.5694033705983499,False,5.006096337567093,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-05-05,-1.0631592666608713,-1.0631592666608713,10.555326271381205,18.0,0.38413344155578644,False,6.315926666087138,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-05,-1.0674383247574195,-1.0674383247574195,9.885575732563282,26.0,0.38413344155578644,False,6.7438324757419394,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-06,-1.061942450457081,-1.061942450457081,10.762678288431474,21.0,0.5091500277879389,False,6.194245045708089,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-06,-1.0650676544315403,-1.0650676544315403,10.245746100592708,33.0,0.5091500277879389,False,6.50676544315402,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-07,-1.5269297202254744,-1.5269297202254744,11.142111037356372,18.0,0.45067674231263877,False,5.983306614262957,-1.4670966540828447,B,2025
ORB OR15 R3,ORB,2025-05-07,-1.0624494382750236,-1.0624494382750236,10.675302854298009,27.0,0.45067674231263877,False,6.24494382750236,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-08,-1.06468168678421,-1.06468168678421,10.306884371936544,18.0,0.5020357078058985,False,6.468168678420982,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-08,2.928017887598396,2.928017887598396,9.26156019077613,35.0,0.5020357078058985,False,7.198211240160382,3.0,B,2025
ORB OR15 R3,ORB,2025-05-09,-1.0752352011295836,-1.0752352011295836,8.86110034474972,15.0,0.446200424898785,False,7.523520112958348,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-09,-1.0865059932677719,-1.0865059932677719,7.706595132698581,22.0,0.446200424898785,False,8.650599326777185,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-12,-1.0632916686172635,-1.0632916686172635,10.53324523166109,58.0,1.3665598101236747,False,6.329166861726371,-0.9999999999999998,A,2025
ORB OR15 R3,ORB,2025-05-12,-1.1762952917449285,-1.1762952917449285,3.7815341525468993,218.0,1.3665598101236747,False,17.629529174492856,-1.0,B,2025
