family,variant,n,mean,median,pf,yp,ny,hc,ex1,k1,exs,ks,old,new,note
reopen_study,VWAP 1.0R,2139,-0.3348201898106203,-1.0385392857142854,0.5048905597202495,0,6,-0.472441627780348,-737.7607923420765,22,-0.47683609854933034,214,False,False,
reopen_study,IB re-entry 2.0R,719,0.0627761138834463,0.0872693732193726,1.214496419643898,5,6,0.05851634274931396,29.18351035157459,8,-0.10499624339540448,72,True,False,
reopen_study,VWAP 2.0R,2136,-0.10884766836598575,-1.058652693043391,0.8555403599501951,0,6,-0.2472401815442328,-275.92886171637804,22,-0.33595886633630867,214,False,False,
reopen_study,IB re-entry 3.0R,718,0.06317803255104268,0.0866379131545381,1.2145369582258922,5,6,0.0589139646110995,23.099284400480606,8,-0.10931964000520783,72,True,False,
reopen_study,VWAP 3.0R,2134,-0.0009442293755873322,-1.0733825757575768,0.9988731505931846,4,6,-0.1465019668573474,-67.36124837048044,22,-0.3260543386307008,214,False,False,
reopen_study,IB re-entry 4.0R,718,0.06101957782119239,0.0866379131545381,1.2072073803091337,5,6,0.05675550988124921,22.065048819373143,8,-0.10931964000520783,72,True,False,
reopen_study,VWAP 4.0R,2134,0.07441678440880373,-1.0817204017576836,1.0832453020449304,4,6,-0.07212501439556568,71.56206400276241,22,-0.3517880928634,214,False,False,
related_inst,IB 1R SPY,600,0.014321780415624668,0.06881639296533694,1.0408967882792628,3,5,0.007499375830061433,2.6190076812139074,6,-0.09432180666102916,60,False,False,
related_inst,IB 1R IWM,599,0.02045099441262795,0.030103859649134534,1.0776009542685336,3,5,0.017129141918369464,6.271418724752076,6,-0.08791557527936888,60,False,False,
related_inst,IB 1R XLK,592,0.06372466509823992,0.14255584587013165,1.2303772423358605,5,5,0.06001742186131689,31.745341317646535,6,-0.04121470083483863,60,True,False,
related_inst,IB 1R IJH,615,0.016384597451183324,0.05445194805194364,1.0583125827828699,3,5,0.012352690988084744,3.1071969823314918,7,-0.0931005419941882,62,False,False,
related_inst,IB 1R EFA,577,0.057892135161095745,0.10595739644970294,1.197734110804763,5,5,0.050016719871557286,27.44099526530161,6,-0.046182728095024723,58,True,False,
FROZEN,IB 1R QQQ single,685,0.06116584733758613,0.12765355987053678,1.2177639444208233,5,6,0.056934846083175984,34.92590960606277,7,-0.04328955442084358,69,True,False,the live candidate
orb_fib,cont ORB15A,112,0.11544915118496388,-0.3512564505292226,1.2296200062663813,5,6,0.10441349250922095,8.953606535497848,2,-0.10836068603614869,12,True,False,
orb_fib,rev ORB15A,39,-0.0584055688533603,-0.3468153415697133,0.8723258967615419,1,6,-0.06690335705326285,-4.2667510799840676,1,-0.5484863780184418,10,False,False,
orb_fib,cont ORB15B,101,-0.1335000672401554,-1.0110734082397002,0.813192046820631,2,6,-0.14648601784573206,-17.461646129173978,2,-0.39162485012372367,11,False,False,
orb_fib,rev ORB15B,34,0.03819694278583602,-0.34563124983175864,1.0849378663137137,4,6,0.028862257067429176,-0.6882725466136401,1,-0.5752139015192008,10,False,False,
orb_fib,cont ORB30A,76,0.2071152941614349,0.04124849837468171,1.5273169867193463,5,6,0.1947974393889033,13.75361330807643,1,-0.06159981638187434,10,True,False,
orb_fib,rev ORB30A,17,-0.12739341328521558,-0.3519176481563225,0.7114870127585167,3,6,-0.13571622354887314,-4.147301061230415,1,-0.9151903581113026,10,False,False,
orb_fib,cont ORB30B,65,0.09822856031247172,-0.3223823609741859,1.2209866903995308,3,6,0.08375076735782788,4.404038477541907,1,-0.2348305874429268,10,False,False,
orb_fib,rev ORB30B,13,-0.05713945194177972,-0.34710574712643677,0.870867310598095,2,4,-0.06702461703755414,-2.7244259106248863,1,-1.0253296613350298,10,False,False,
