session,instrument_id,volume,volume_front,rth_prints,off_tick,first_rth,last_rth,rth_side_N,monotonic,rth_minutes_missing,max_rth_gap_s,recon_volume,cleared_volume,recon_dev,ok_grid,ok_full_cash,ok_side_N,ok_monotonic,ok_dup_dates,ok_prior_use,ok_coverage,ok_gaps,ok_volume,ok_roll_lag,passes,passes_ex_volume
2026-04-29,42004058,511472,511472,236270,0,09:30:00.000099,15:59:59.999662,0,True,0,6.245766198,511472,516846.0,-0.010397681320935104,True,True,True,True,True,True,True,True,True,True,True,True
2026-04-30,42004058,688492,688492,301806,0,09:30:00.001549,15:59:59.999514,0,True,0,4.006482986,688492,701348.0,-0.018330415143409495,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-01,42004058,499576,499576,264440,0,09:30:00.000080,15:59:59.999851,0,True,0,4.107912394,499576,509821.0,-0.02009528834630192,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-04,42004058,563422,563422,263671,0,09:30:00.002405,15:59:59.999518,0,True,0,5.855036238,563422,576727.0,-0.023069840669848962,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-05,42004058,443187,443187,215221,0,09:30:00.003027,15:59:59.999518,0,True,0,5.127794944,443187,458058.0,-0.03246532098555199,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-06,42004058,620719,620719,257953,0,09:30:00.001685,15:59:59.999515,0,True,0,5.687751628,620719,637911.0,-0.02695046801199541,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-07,42004058,648101,648101,349280,0,09:30:00.000093,15:59:59.999518,0,True,0,3.733084436,648101,657049.0,-0.01361846681145551,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-08,42004058,527654,527654,255594,0,09:30:00.000084,15:59:59.999315,0,True,0,5.89491695,527654,543817.0,-0.029721395248769378,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-11,42004058,539212,539212,251133,0,09:30:00.001080,15:59:59.999519,0,True,0,3.85417775,539212,558723.0,-0.03492070310332673,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-12,42004058,703198,703198,367769,0,09:30:00.000083,15:59:59.999954,0,True,0,4.695771046,703198,719824.0,-0.023097312676432002,True,True,True,True,True,True,True,True,False,True,False,True
