date,open,high,low,close,volume
2023-09-22,101.95,102.44,101.74,101.79,9790322
2023-09-25,101.35,102.34,101.31,102.3,6301752
2023-09-26,101.64,101.96,100.62,100.74,10126475
2023-09-27,101.35,101.81,100.69,101.49,11316427
2023-09-28,101.42,102.63,101.28,101.92,8583651
2023-09-29,102.54,102.63,101.04,101.38,9634921
2023-10-02,101.09,101.37,99.93,100.39,9594898
2023-10-03,100.04,100.78,99.27,99.69,10600449
2023-10-04,99.66,100.19,98.91,100.01,10209369
2023-10-05,99.87,100.13,99.01,99.42,9033902
2023-10-06,99.04,101.36,98.69,100.78,12416582
2023-10-09,101.17,102.48,100.98,102.36,9554514
2023-10-10,102.77,103.59,102.36,102.98,8532698
2023-10-11,103.25,103.65,102.79,103.6,6879338
2023-10-12,103.92,103.92,101.87,102.66,7081071
2023-10-13,102.77,103.15,101.3,101.75,8250095
2023-10-16,102.67,103.4,102.28,102.83,7273045
2023-10-17,102.37,103.82,102.33,103.15,9385926
2023-10-18,102.47,102.52,100.49,100.66,11379608
2023-10-19,100.86,101.45,99.52,99.73,11045151
2023-10-20,99.84,100.04,98.66,98.7,10710533
2023-10-23,98.55,99.62,98.19,98.24,10564197
2023-10-24,99.49,99.66,98.53,98.98,8318377
2023-10-25,98.83,98.92,97.66,97.71,9535785
2023-10-26,97.77,98.46,97.24,97.3,13280896
2023-10-27,97.35,97.51,96.11,96.44,10096605
2023-10-30,97.08,97.97,96.71,97.64,9583747
2023-10-31,97.42,98.47,97.27,98.36,8730744
2023-11-01,98.46,98.88,97.79,98.68,13081816
2023-11-02,99.77,100.81,99.55,100.71,9139840
2023-11-03,101.63,102.15,101.55,101.6,8560398
2023-11-06,101.68,101.73,100.85,101.33,5780386
2023-11-07,100.64,101.24,100.39,101.08,6361233
2023-11-08,101.3,101.63,100.9,101.31,6741194
2023-11-09,101.95,102.12,100.9,101.09,10622929
2023-11-10,101.65,102.66,101.29,102.55,8299646
2023-11-13,102.31,102.87,102.13,102.64,5512977
2023-11-14,103.89,105.12,103.89,104.7,11251821
2023-11-15,104.99,105.72,104.84,104.92,7296603
2023-11-16,105.03,105.52,104.51,104.94,7658552
2023-11-17,105.47,105.65,105.14,105.61,6584291
2023-11-20,105.5,106.21,105.06,105.93,6210871
2023-11-21,105.76,106.05,105.41,105.85,6052561
2023-11-22,105.82,106.41,105.61,106.08,7527769
2023-11-24,106.12,106.54,106.07,106.34,3910275
2023-11-27,106,106.09,105.58,105.74,8200537
2023-11-28,105.89,106.38,105.34,105.49,7011610
2023-11-29,106.08,106.42,105.68,105.89,7025474
2023-11-30,106.09,107.11,105.76,107.05,11676836
2023-12-01,107.15,108.81,107.07,108.74,11278835
2023-12-04,107.89,108.97,107.89,108.92,9610948
