time,price,volume,aggressor
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,2,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,3,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,2,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,2,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,2,B
2026-09-10 05:28:40.957,29480,5,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,2,B
2026-09-10 05:28:40.957,29480,5,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,3,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29480,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,2,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.957,29485,1,B
2026-09-10 05:28:40.960,29480,3,S
2026-09-10 05:28:40.960,29480,13,S
2026-09-10 05:28:40.960,29480,6,S
2026-09-10 05:28:40.960,29480,14,S
2026-09-10 05:28:40.960,29480,10,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,2,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.960,29480,1,S
2026-09-10 05:28:40.961,29480,1,S
2026-09-10 05:28:40.961,29485,1,B
2026-09-10 05:28:40.961,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,S
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,S
2026-09-10 05:28:40.962,29485,1,S
2026-09-10 05:28:40.962,29480,2,S
2026-09-10 05:28:40.962,29480,3,S
2026-09-10 05:28:40.962,29480,1,S
2026-09-10 05:28:40.962,29485,2,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,2,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.962,29485,1,B
2026-09-10 05:28:40.963,29485,1,S
2026-09-10 05:28:40.963,29485,1,S
2026-09-10 05:28:40.963,29485,1,S
2026-09-10 05:28:40.963,29480,1,S
2026-09-10 05:28:40.963,29480,1,S
2026-09-10 05:28:40.963,29480,1,S
2026-09-10 05:28:40.965,29480,2,S
2026-09-10 05:28:40.965,29480,1,S
2026-09-10 05:28:40.965,29480,1,S
2026-09-10 05:28:40.965,29485,1,B
2026-09-10 05:28:40.965,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29480,2,S
2026-09-10 05:28:40.967,29480,1,S
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29485,1,B
2026-09-10 05:28:40.967,29480,1,S
2026-09-10 05:28:40.968,29480,1,S
2026-09-10 05:28:40.971,29485,1,B
2026-09-10 05:28:40.971,29485,1,B
2026-09-10 05:28:40.976,29485,1,S
2026-09-10 05:28:40.976,29485,1,S
2026-09-10 05:28:40.976,29480,1,S
2026-09-10 05:28:40.977,29480,1,S
2026-09-10 05:28:40.978,29480,1,S
2026-09-10 05:28:40.978,29480,10,S
2026-09-10 05:28:40.978,29480,1,S
2026-09-10 05:28:40.979,29480,11,S
2026-09-10 05:28:40.979,29480,3,S
2026-09-10 05:28:40.980,29480,1,S
2026-09-10 05:28:40.983,29480,2,S
2026-09-10 05:28:40.983,29480,4,S
2026-09-10 05:28:40.983,29480,3,S
2026-09-10 05:28:40.983,29480,1,S
2026-09-10 05:28:40.983,29480,1,S
2026-09-10 05:28:40.983,29480,1,S
2026-09-10 05:28:40.983,29480,1,S
2026-09-10 05:28:40.983,29480,1,S
2026-09-10 05:28:40.985,29485,1,B
2026-09-10 05:28:40.985,29485,1,B
2026-09-10 05:28:40.985,29485,1,B
