1784678,29280.25,29303.0,29279.25,29298.5
1784678,29298.5,29325.25,29286.0,29322.25
1784678,29322.25,29335.75,29312.5,29328.5
1784679,29327.5,29337.0,29308.5,29327.75
1784679,29329.5,29330.5,29305.75,29323.0
1784679,29325.25,29328.25,29301.25,29309.75
1784679,29308.75,29316.5,29290.25,29299.0
1784680,29300.25,29305.5,29272.5,29286.5
1784680,29285.0,29293.75,29272.5,29291.75
1784680,29289.75,29298.25,29279.5,29285.5
1784681,29282.75,29286.0,29258.25,29279.75
1784681,29280.25,29283.75,29264.5,29266.25
1784681,29265.75,29293.0,29259.25,29288.0
1784682,29289.75,29293.75,29234.5,29242.5
1784682,29241.5,29251.75,29234.5,29242.0
1784682,29244.0,29262.0,29237.5,29257.0
1784682,29259.0,29272.0,29256.0,29267.5
1784683,29263.25,29266.0,29239.5,29242.0
1784683,29242.75,29263.5,29240.5,29246.0
1784683,29243.0,29249.75,29232.0,29242.75
1784684,29244.5,29257.25,29239.75,29251.0
1784684,29252.75,29260.75,29240.5,29255.25
1784684,29253.0,29288.0,29251.25,29286.25
1784685,29288.5,29307.0,29282.25,29300.75
1784685,29301.5,29302.5,29275.25,29277.25
1784685,29277.25,29284.0,29248.0,29262.5
1784685,29264.5,29269.75,29238.25,29245.75
1784686,29244.5,29264.0,29244.5,29260.75
1784686,29260.0,29268.5,29255.0,29258.5
1784686,29262.75,29267.0,29254.0,29263.75
1784687,29264.25,29284.5,29250.5,29276.0
1784687,29275.5,29277.25,29250.75,29254.5
1784687,29255.0,29257.75,29243.0,29245.0
1784688,29244.0,29264.5,29243.25,29253.75
1784688,29252.25,29263.75,29246.25,29261.25
1784688,29260.75,29262.0,29245.5,29252.5
1784688,29252.5,29254.25,29228.0,29238.25
1784689,29239.25,29241.75,29227.0,29235.25
1784689,29234.25,29245.0,29215.25,29217.0
1784689,29216.5,29220.5,29210.0,29214.25
1784690,29213.25,29228.5,29212.0,29217.25
1784690,29220.0,29251.5,29218.5,29248.5
1784690,29249.75,29262.0,29246.75,29262.0
1784691,29260.25,29267.25,29219.5,29226.25
1784691,29226.25,29233.0,29218.5,29229.75
1784691,29228.75,29236.25,29217.0,29222.5
1784691,29224.25,29241.5,29223.75,29234.5
1784692,29234.5,29234.75,29192.0,29197.0
1784692,29198.0,29207.5,29190.25,29200.0
1784692,29199.0,29213.5,29187.75,29213.5
1784693,29214.0,29225.0,29207.75,29220.25
1784693,29219.0,29224.25,29209.0,29213.25
1784693,29216.0,29227.5,29216.0,29223.25
1784694,29223.5,29236.0,29221.0,29231.5
1784694,29232.25,29238.5,29223.0,29234.0
1784694,29231.75,29232.5,29214.75,29216.75
1784694,29218.75,29222.5,29211.0,29211.5
1784695,29212.25,29222.75,29208.75,29217.5
1784695,29216.75,29219.5,29205.0,29208.5
1784695,29207.75,29211.0,29202.75,29203.0
1784696,29202.75,29222.75,29193.75,29221.5
1784696,29222.25,29225.25,29199.75,29201.75
1784696,29202.5,29205.0,29184.25,29185.75
1784697,29184.25,29194.75,29179.5,29186.5
1784697,29187.75,29196.25,29177.25,29187.75
1784697,29187.0,29187.0,29166.25,29170.25
1784697,29171.0,29186.75,29166.0,29166.0
1784698,29165.5,29183.75,29162.0,29182.0
1784698,29180.5,29182.75,29151.0,29167.75
1784698,29168.5,29170.5,29145.5,29146.0
1784699,29148.0,29156.5,29140.25,29155.0
1784699,29155.25,29177.75,29153.0,29157.0
1784699,29155.25,29173.0,29155.25,29172.75
1784700,29171.25,29173.0,29149.5,29152.0
1784700,29150.75,29152.75,29127.0,29129.5
1784700,29129.0,29143.5,29126.0,29133.25
1784700,29131.75,29131.75,29093.25,29098.5
1784701,29098.5,29099.75,29060.0,29081.75
1784701,29081.0,29087.5,29067.25,29079.5
1784701,29077.75,29094.0,29068.0,29094.0
1784702,29095.0,29115.25,29094.25,29111.0
1784702,29110.75,29115.5,29102.0,29102.75
1784702,29101.75,29101.75,29068.75,29070.0
1784703,29069.0,29103.0,29062.25,29093.0
1784703,29092.25,29099.0,29083.25,29092.75
1784703,29091.75,29102.25,29073.75,29082.0
1784703,29082.0,29084.25,29051.0,29066.25
1784704,29068.0,29099.0,29066.5,29097.0
1784704,29098.0,29115.0,29090.75,29106.75
1784704,29106.0,29114.25,29088.0,29093.5
1784705,29092.0,29124.5,29084.25,29119.25
1784705,29117.5,29123.75,29071.25,29071.25
1784705,29070.5,29075.75,29048.0,29048.0
1784706,29049.25,29065.0,29025.75,29065.0
1784706,29064.25,29077.0,29045.25,29046.5
1784706,29045.75,29067.75,29040.0,29060.75
1784706,29061.0,29068.75,29049.0,29056.0
1784707,29059.75,29087.0,29038.75,29084.5
1784707,29084.0,29107.0,29068.0,29095.25
1784707,29095.25,29097.0,29063.0,29067.0
1784708,29066.0,29082.25,29061.5,29072.75
1784708,29074.0,29104.25,29069.0,29101.0
1784708,29099.0,29105.0,29087.5,29100.25
1784709,29101.25,29115.5,29097.0,29111.75
1784709,29113.0,29113.0,29087.0,29089.25
1784709,29090.0,29100.0,29079.0,29086.75
1784709,29086.75,29108.0,29086.75,29097.25
1784710,29094.5,29108.25,29086.0,29106.0
1784710,29106.0,29117.75,29096.0,29110.0
1784710,29110.25,29139.75,29106.25,29131.75
